time,x,y,velocity,acceleration
0.0,6771000.0,0.0,7672.4904132836045,8.694005190064809
1.8432249321946683e-07,6771000.0,0.0014142125621788915,7672.4904132836045,8.694005190064809
2.027547425414135e-06,6771000.0,0.015556338183967806,7672.4904132836045,8.694005190064809
2.0459796747360818e-05,6770999.999999998,0.15697759440185693,7672.4904132836045,8.694005190064807
0.00020478228996682765,6770999.999999817,1.5711901565807347,7672.4904132836045,8.694005190064809
0.002048007222161496,6770999.999981767,15.713315778355557,7672.4904132836045,8.69400519006481
0.020480256544108177,6770999.998176688,157.13457198215428,7672.4904132836045,8.694005190064813
0.204802749763575,6770999.8176686,1571.3471200705903,7672.4904132836045,8.694005190064813
2.048027681958243,6770981.76686492,15713.458651404282,7672.4904132836045,8.694005190064813
12.048027681958242,6770369.020764499,92435.50547351196,7672.4904132836255,8.694005190064848
22.048027681958242,6768886.964464912,169145.6836474815,7672.490413283646,8.694005190064887
32.048027681958246,6766535.788261053,245834.14364516133,7672.490413283668,8.694005190064924
42.048027681958246,6763315.794042148,322491.0387269971,7672.490413283689,8.694005190064962
52.048027681958246,6759227.395252988,399106.5262063455,7672.490413283711,8.694005190064999
62.048027681958246,6754271.116840848,475670.76871326764,7672.490413283733,8.694005190065038
72.04802768195825,6748447.595188081,552173.9354576399,7672.490413283755,8.694005190065077
82.04802768195825,6741757.578030411,628606.2034914198,7672.4904132837755,8.694005190065118
92.04802768195825,6734201.924360919,704957.7589699051,7672.490413283797,8.694005190065155
102.04802768195825,6725781.60431975,781218.7984118237,7672.490413283819,8.694005190065191
112.04802768195825,6716497.699069553,857379.5299580934,7672.490413283841,8.694005190065232
122.04802768195825,6706351.4006566545,933430.1746290891,7672.490413283862,8.694005190065269
132.04802768195825,6695344.011858002,1009360.9675802559,7672.490413283884,8.694005190065306
142.04802768195825,6683476.946013892,1085162.1593559084,7672.490413283906,8.694005190065344
152.04802768195825,6670751.726846493,1160824.0171410525,7672.4904132839265,8.694005190065385
162.04802768195825,6657169.988264204,1236336.8260110721,7672.490413283947,8.694005190065424
172.04802768195825,6642733.474151862,1311690.8901791177,7672.490413283969,8.694005190065464
182.04802768195825,6627444.038146826,1386876.534241038,7672.49041328399,8.6940051900655
192.04802768195825,6611303.643400976,1461884.104417694,7672.490413284012,8.694005190065539
202.04802768195825,6594314.36232864,1536703.9697944978,7672.490413284033,8.694005190065575
212.04802768195825,6576478.376340501,1611326.5235580138,7672.490413284055,8.694005190065614
222.04802768195825,6557797.975563506,1685742.1842294666,7672.490413284076,8.694005190065653
232.04802768195825,6538275.558546813,1759941.3968949951,7672.490413284097,8.694005190065692
242.04802768195825,6517913.631953822,1833914.634432497,7672.4904132841175,8.694005190065731
252.04802768195825,6496714.81024032,1907652.398734903,7672.490413284138,8.694005190065765
262.0480276819583,6474681.815318785,1981145.2219297276,7672.49041328416,8.694005190065806
272.0480276819583,6451817.476208898,2054383.6675947348,7672.490413284181,8.694005190065841
282.0480276819583,6428124.728674297,2127358.33196957,7672.490413284201,8.694005190065877
292.0480276819583,6403606.614845627,2200059.845163193,7672.490413284223,8.694005190065917
302.0480276819583,6378266.282829933,2272478.8723569675,7672.490413284243,8.694005190065951
312.0480276819583,6352106.986306448,2344606.115003242,7672.490413284264,8.694005190065988
322.0480276819583,6325132.084108816,2416432.3120192788,7672.490413284285,8.694005190066024
332.0480276819583,6297345.039793832,2487948.2409763676,7672.490413284306,8.694005190066063
342.0480276819583,6268749.421196712,2559144.7192839803,7672.490413284327,8.694005190066095
352.0480276819583,6239348.899972992,2630012.605368807,7672.490413284348,8.694005190066132
362.0480276819583,6209147.251127089,2700542.7998485276,7672.490413284368,8.694005190066168
372.0480276819583,6178148.352527595,2770726.246700166,7672.490413284388,8.694005190066207
382.0480276819583,6146356.184409359,2840553.9344228753,7672.490413284408,8.69400519006624
392.0480276819583,6113774.828862426,2910016.8971950095,7672.490413284428,8.694005190066276
402.0480276819583,6080408.469307908,2979106.216025326,7672.490413284448,8.694005190066314
412.0480276819583,6046261.389960826,3047813.019898179,7672.490413284467,8.694005190066347
422.0480276819583,6011337.975280029,3116128.4869125504,7672.490413284488,8.694005190066381
432.0480276819583,5975642.709405225,3184043.8454147745,7672.490413284508,8.694005190066418
442.0480276819583,5939180.175581225,3251550.375124813,7672.490413284527,8.694005190066447
452.0480276819583,5901955.055569459,3318639.408255931,7672.490413284547,8.694005190066482
462.0480276819583,5863972.129046837,3385302.330627635,7672.490413284566,8.694005190066514
472.0480276819583,5825236.2729920475,3451530.582771727,7672.490413284586,8.694005190066548
482.0480276819583,5785752.461059353,3517315.6610313323,7672.490413284604,8.694005190066584
492.0480276819583,5745525.762939979,3582649.118652765,7672.490413284623,8.694005190066616
502.0480276819583,5704561.3437111685,3647522.5668700836,7672.490413284642,8.694005190066648
512.0480276819583,5662864.463172989,3711927.6759822005,7672.4904132846605,8.694005190066681
522.0480276819583,5620440.475172981,3775856.1764224116,7672.49041328468,8.694005190066715
532.0480276819583,5577294.826918725,3839299.859820201,7672.490413284698,8.694005190066745
542.0480276819583,5533433.058278427,3902250.5800551907,7672.490413284716,8.694005190066777
552.0480276819583,5488860.801069602,3964700.2543030945,7672.490413284733,8.69400519006681
562.0480276819583,5443583.778335953,4026640.864073548,7672.490413284751,8.69400519006684
572.0480276819583,5397607.803612537,4088064.4562396756,7672.49041328477,8.694005190066862
582.0480276819583,5350938.78017931,4148963.1440592664,7672.490413284786,8.694005190066896
592.0480276819583,5303582.700303153,4209329.108187426,7672.490413284803,8.694005190066923
602.0480276819583,5255545.6444684705,4269154.597680573,7672.49041328482,8.694005190066953
612.0480276819583,5206833.780596455,4328431.930991657,7672.490413284837,8.694005190066983
622.0480276819583,5157453.363253136,4387153.496956461,7672.490413284855,8.694005190067012
632.0480276819583,5107410.732846297,4445311.75577087,7672.490413284871,8.694005190067037
642.0480276819583,5056712.314811372,4502899.2399589745,7672.490413284888,8.694005190067065
652.0480276819583,5005364.618786424,4559908.555331892,7672.490413284904,8.694005190067092
662.0480276819583,4953374.237776314,4616332.381937173,7672.490413284921,8.694005190067118
672.0480276819583,4900747.84730616,4672163.474998676,7672.490413284936,8.694005190067143
682.0480276819583,4847492.204564212,4727394.665846795,7672.490413284952,8.694005190067175
692.0480276819583,4793614.147534227,4782018.862838906,7672.490413284968,8.694005190067198
702.0480276819583,4739120.594117481,4836029.052269935,7672.490413284984,8.694005190067221
712.0480276819583,4684018.541244515,4889418.299272905,7672.490413285,8.694005190067248
722.0480276819583,4628315.063976734,4942179.748709375,7672.490413285014,8.694005190067273
732.0480276819583,4572017.3145979745,4994306.6260496285,7672.490413285029,8.694005190067292
742.0480276819583,4515132.521696158,5045792.238242521,7672.490413285043,8.694005190067317
752.0480276819583,4457667.989235144,5096629.974574862,7672.490413285058,8.69400519006734
762.0480276819583,4399631.09561691,5146813.307520226,7672.4904132850725,8.694005190067362
772.0480276819583,4341029.292734164,5196335.79357708,7672.490413285086,8.694005190067385
782.0480276819583,4281870.105013534,5245191.074096127,7672.4904132851,8.694005190067404
792.0480276819583,4222161.128449434,5293372.876096752,7672.490413285113,8.694005190067424
